case,expert_ranking,proxy,student_index,spearman,kendall,n_items
Expert_A,1-2-3-4-5-7-8-6,readTime,0,0.7142857142857144,0.5714285714285714,8
Expert_A,1-2-3-4-5-7-8-6,readTime,1,0.261904761904762,0.14285714285714285,8
Expert_A,1-2-3-4-5-7-8-6,readTime,2,0.2380952380952381,0.21428571428571427,8
Expert_A,1-2-3-4-5-7-8-6,readTime,3,0.28571428571428575,0.21428571428571427,8
Expert_A,1-2-3-4-5-7-8-6,readTime,4,-0.19047619047619052,-0.14285714285714285,8
Expert_A,1-2-3-4-5-7-8-6,readTime,5,-0.14285714285714288,-0.07142857142857142,8
Expert_A,1-2-3-4-5-7-8-6,readTime,6,0.04761904761904763,0.07142857142857142,8
Expert_A,1-2-3-4-5-7-8-6,readTime,7,0.4761904761904762,0.42857142857142855,8
Expert_A,1-2-3-4-5-7-8-6,readTime,8,0.4523809523809524,0.2857142857142857,8
Expert_A,1-2-3-4-5-7-8-6,readTime,9,0.261904761904762,0.14285714285714285,8
Expert_A,1-2-3-4-5-7-8-6,readTime,10,0.6428571428571429,0.42857142857142855,8
Expert_A,1-2-3-4-5-7-8-6,readTime,11,0.14285714285714288,0.07142857142857142,8
Expert_A,1-2-3-4-5-7-8-6,readTime,12,-0.261904761904762,-0.21428571428571427,8
Expert_A,1-2-3-4-5-7-8-6,readTime,13,0.5714285714285715,0.42857142857142855,8
Expert_A,1-2-3-4-5-7-8-6,readTime,14,-0.19047619047619052,-0.2857142857142857,8
Expert_A,1-2-3-4-5-7-8-6,readTime,15,0.261904761904762,0.14285714285714285,8
Expert_A,1-2-3-4-5-7-8-6,readTime,16,0.0,0.03571428571428571,8
Expert_A,1-2-3-4-5-7-8-6,readTime,17,-0.04761904761904763,-0.07142857142857142,8
Expert_A,1-2-3-4-5-7-8-6,readTime,18,0.23809523809523814,0.17857142857142855,8
Expert_A,1-2-3-4-5-7-8-6,readTime,19,0.4761904761904762,0.42857142857142855,8
Expert_A,1-2-3-4-5-7-8-6,readTime,20,0.5714285714285715,0.4999999999999999,8
Expert_A,1-2-3-4-5-7-8-6,readTime,21,0.5476190476190477,0.4999999999999999,8
Expert_A,1-2-3-4-5-7-8-6,readTime,22,0.7380952380952381,0.6428571428571428,8
Expert_A,1-2-3-4-5-7-8-6,readTime,23,-0.09523809523809526,-0.07142857142857142,8
Expert_A,1-2-3-4-5-7-8-6,readTime,24,0.2142857142857143,0.14285714285714285,8
Expert_A,1-2-3-4-5-7-8-6,readTime,25,0.023809523809523815,0.07142857142857142,8
Expert_A,1-2-3-4-5-7-8-6,readTime,26,0.2380952380952381,0.21428571428571427,8
Expert_A,1-2-3-4-5-7-8-6,readTime,27,0.4761904761904763,0.3214285714285714,8
Expert_A,1-2-3-4-5-7-8-6,readTime,28,0.07142857142857144,0.07142857142857142,8
Expert_A,1-2-3-4-5-7-8-6,readTime,29,0.6428571428571429,0.4999999999999999,8
Expert_A,1-2-3-4-5-7-8-6,readTime,30,0.10714285714285718,0.03571428571428571,8
Expert_A,1-2-3-4-5-7-8-6,readTime,31,0.2142857142857143,0.14285714285714285,8
Expert_A,1-2-3-4-5-7-8-6,readTime,32,0.4285714285714286,0.2857142857142857,8
Expert_A,1-2-3-4-5-7-8-6,readTime,33,0.4761904761904762,0.3571428571428571,8
Expert_A,1-2-3-4-5-7-8-6,readTime,34,0.3928571428571429,0.25,8
Expert_A,1-2-3-4-5-7-8-6,readTime,35,0.8333333333333335,0.7142857142857142,8
Expert_A,1-2-3-4-5-7-8-6,readTime,36,-0.6190476190476191,-0.5714285714285714,8
Expert_A,1-2-3-4-5-7-8-6,readTime,37,0.2380952380952381,0.21428571428571427,8
Expert_A,1-2-3-4-5-7-8-6,readTime,38,0.5714285714285715,0.4999999999999999,8
Expert_A,1-2-3-4-5-7-8-6,readTime,39,0.07142857142857144,0.0,8
Expert_A,1-2-3-4-5-7-8-6,readTime,40,0.14285714285714288,0.07142857142857142,8
Expert_A,1-2-3-4-5-7-8-6,readTime,41,0.8571428571428572,0.6428571428571428,8
Expert_A,1-2-3-4-5-7-8-6,readTime,42,-0.07142857142857144,-0.07142857142857142,8
Expert_A,1-2-3-4-5-7-8-6,readTime,43,0.761904761904762,0.6071428571428571,8
Expert_A,1-2-3-4-5-7-8-6,log_readTime,0,0.7142857142857144,0.5714285714285714,8
Expert_A,1-2-3-4-5-7-8-6,log_readTime,1,0.261904761904762,0.14285714285714285,8
Expert_A,1-2-3-4-5-7-8-6,log_readTime,2,0.2380952380952381,0.21428571428571427,8
Expert_A,1-2-3-4-5-7-8-6,log_readTime,3,0.28571428571428575,0.21428571428571427,8
Expert_A,1-2-3-4-5-7-8-6,log_readTime,4,-0.19047619047619052,-0.14285714285714285,8
Expert_A,1-2-3-4-5-7-8-6,log_readTime,5,-0.14285714285714288,-0.07142857142857142,8
Expert_A,1-2-3-4-5-7-8-6,log_readTime,6,0.5476190476190477,0.42857142857142855,8
Expert_A,1-2-3-4-5-7-8-6,log_readTime,7,0.4523809523809524,0.3571428571428571,8
