case,expert_ranking,proxy,aggregation,spearman_mean_Uni1,spearman_std_Uni1,kendall_mean_Uni1,kendall_std_Uni1,n_Uni1,spearman_mean_Uni2,spearman_std_Uni2,kendall_mean_Uni2,kendall_std_Uni2,n_Uni2,delta_spearman,delta_kendall,abs_delta_spearman,abs_delta_kendall
CASE1_strict,1-4-7-6,log_time_scaleSM,median,0.8,0.141421356,0.666666667,0.23570226,4,0.8,0,0.666666667,0,4,0,0,0,0
CASE1_strict,1-4-7-6,log_time_scaleST,per_student,0.116216216,0.475629605,0.094594595,0.403700117,37,0.414285714,0.294853821,0.357142857,0.207566616,7,-0.298069498,-0.262548263,0.298069498,0.262548263
CASE1_strict,1-4-7-6,log_time_scaleST,avg,0.8,0,0.666666667,0,4,0.4,0,0.333333333,0,4,0.4,0.333333333,0.4,0.333333333
CASE1_strict,1-4-7-6,log_time_scaleST,median,0,0,0,0,4,0.3,0.1,0.166666667,0.166666667,4,-0.3,-0.166666667,0.3,0.166666667
CASE1_strict,1-4-7-6,acc_function,per_student,0.256756757,0.43217898,0.207207207,0.376496823,37,-0.128571429,0.281395937,-0.119047619,0.212958855,7,0.385328185,0.326254826,0.385328185,0.326254826
CASE1_strict,1-4-7-6,acc_function,avg,0.4,0,0.333333333,0,4,-0.3,0.3,-0.166666667,0.166666667,4,0.7,0.5,0.7,0.5
CASE1_strict,1-4-7-6,acc_function,median,0.4,0.282842712,0.333333333,0.23570226,4,-0.7,0.1,-0.5,0.166666667,4,1.1,0.833333333,1.1,0.833333333
CASE1_strict,1-4-7-6,acc_output,per_student,0.318918919,0.28459344,0.265765766,0.2371612,37,0.371428571,0.24907994,0.30952381,0.207566616,7,-0.052509653,-0.043758044,0.052509653,0.043758044
CASE1_strict,1-4-7-6,acc_output,avg,0.8,0,0.666666667,0,4,0.6,0.2,0.5,0.166666667,4,0.2,0.166666667,0.2,0.166666667
CASE1_strict,1-4-7-6,acc_output,median,0.4,0.282842712,0.333333333,0.23570226,4,0.6,0.282842712,0.5,0.319142369,4,-0.2,-0.166666667,0.2,0.166666667
CASE1_strict,1-4-7-6,acc_syntaxBL,per_student,0.037837838,0.179113962,0.031531532,0.149261635,37,0.057142857,0.09035079,0.047619048,0.075292325,7,-0.019305019,-0.016087516,0.019305019,0.016087516
CASE1_strict,1-4-7-6,acc_syntaxBL,avg,-0.2,0.2,-0.166666667,0.166666667,4,0.2,0.43204938,0.166666667,0.319142369,4,-0.4,-0.333333333,0.4,0.333333333
CASE1_strict,1-4-7-6,acc_syntaxBL,median,0,0,0,0,4,0,0,0,0,4,0,0,0,0
CASE1_strict,1-4-7-6,scaleSM,per_student,0.597297297,0.23306012,0.513513514,0.230479258,37,0.657142857,0.149829835,0.547619048,0.146771762,7,-0.05984556,-0.034105534,0.05984556,0.034105534
CASE1_strict,1-4-7-6,scaleSM,avg,0.8,0,0.666666667,0,4,1,0,1,0,4,-0.2,-0.333333333,0.2,0.333333333
CASE1_strict,1-4-7-6,scaleSM,median,0.8,0,0.666666667,0,4,0.6,0.282842712,0.5,0.319142369,4,0.2,0.166666667,0.2,0.166666667
CASE1_strict,1-4-7-6,scaleST,per_student,0.591891892,0.211018609,0.5,0.208670898,37,0.542857143,0.232115383,0.452380952,0.193429486,7,0.049034749,0.047619048,0.049034749,0.047619048
CASE1_strict,1-4-7-6,scaleST,avg,0.8,0,0.666666667,0,4,0.8,0,0.666666667,0,4,0,0,0,0
CASE1_strict,1-4-7-6,scaleST,median,0.9,0.1,0.833333333,0.166666667,4,0.6,0.282842712,0.5,0.319142369,4,0.3,0.333333333,0.3,0.333333333
CASE1_strict,1-5-7-6,readTime,per_student,0.383783784,0.456492807,0.310810811,0.421213324,37,0.571428571,0.271052371,0.476190476,0.301169301,7,-0.187644788,-0.165379665,0.187644788,0.165379665
CASE1_strict,1-5-7-6,readTime,avg,0.8,0,0.666666667,0,4,0.8,0,0.666666667,0,4,0,0,0,0
CASE1_strict,1-5-7-6,readTime,median,0.8,0,0.666666667,0,4,0.4,0,0.333333333,0,4,0.4,0.333333333,0.4,0.333333333
CASE1_strict,1-5-7-6,log_readTime,per_student,0.235135135,0.637654577,0.207207207,0.566064075,37,0.571428571,0.271052371,0.476190476,0.301169301,7,-0.336293436,-0.268983269,0.336293436,0.268983269
CASE1_strict,1-5-7-6,log_readTime,avg,0.8,0,0.666666667,0,4,0.8,0,0.666666667,0,4,0,0,0,0
CASE1_strict,1-5-7-6,log_readTime,median,0.8,0,0.666666667,0,4,0.4,0,0.333333333,0,4,0.4,0.333333333,0.4,0.333333333
CASE1_strict,1-5-7-6,time_function,per_student,0.045945946,0.544552678,0.036036036,0.468425154,37,0.228571429,0.506287004,0.238095238,0.386858972,7,-0.182625483,-0.202059202,0.182625483,0.202059202
CASE1_strict,1-5-7-6,time_function,avg,0.8,0,0.666666667,0,4,1,0,1,0,4,-0.2,-0.333333333,0.2,0.333333333
CASE1_strict,1-5-7-6,time_function,median,1,0,1,0,4,0.6,0,0.333333333,0,4,0.4,0.666666667,0.4,0.666666667
CASE1_strict,1-5-7-6,time_output,per_student,0.540540541,0.473891001,0.486486486,0.407103551,37,0.757142857,0.238190457,0.642857143,0.287691571,7,-0.216602317,-0.156370656,0.216602317,0.156370656
CASE1_strict,1-5-7-6,time_output,avg,1,0,1,0,4,1,0,1,0,4,0,0,0,0
CASE1_strict,1-5-7-6,time_output,median,1,0,1,0,4,1,0,1,0,4,0,0,0,0
