case,expert_ranking,proxy,aggregation,spearman_mean_Uni1,spearman_std_Uni1,kendall_mean_Uni1,kendall_std_Uni1,n_Uni1,spearman_mean_Uni2,spearman_std_Uni2,kendall_mean_Uni2,kendall_std_Uni2,n_Uni2,delta_spearman,abs_delta_spearman
strict,1-4-7-6,time_scaleSM,per_student,0.175675676,0.530886767,0.157657658,0.466515333,37,0.457142857,0.328881841,0.404761905,0.306764255,7,-0.281467181,0.281467181
strict,1-4-7-6,time_scaleSM,avg,0.8,0,0.666666667,0,4,0.4,0,0.333333333,0,4,0.4,0.4
strict,1-4-7-6,time_scaleSM,median,0.8,0.141421356,0.666666667,0.23570226,4,0.8,0,0.666666667,0,4,0,0
strict,1-4-7-6,time_scaleST,per_student,0.116216216,0.475629605,0.094594595,0.403700117,37,0.414285714,0.294853821,0.357142857,0.207566616,7,-0.298069498,0.298069498
strict,1-4-7-6,time_scaleST,avg,-0.4,0,-0.333333333,0,4,0.8,0,0.666666667,0,4,-1.2,1.2
strict,1-4-7-6,time_scaleST,median,0,0,0,0,4,0.3,0.1,0.166666667,0.166666667,4,-0.3,0.3
strict,1-4-7-6,log_time_function,per_student,0.027027027,0.562162162,0.009009009,0.480780687,37,0.085714286,0.564240505,0.095238095,0.461683796,7,-0.058687259,0.058687259
strict,1-4-7-6,log_time_function,avg,0.8,0,0.666666667,0,4,0.4,0,0.333333333,0,4,0.4,0.4
strict,1-4-7-6,log_time_function,median,0.8,0,0.666666667,0,4,0.2,0,0,0,4,0.6,0.6
strict,1-4-7-6,log_time_output,per_student,0.462162162,0.461109913,0.400900901,0.423519253,37,0.814285714,0.188441514,0.738095238,0.215604408,7,-0.352123552,0.352123552
strict,1-4-7-6,log_time_output,avg,1,0,1,0,4,1,0,1,0,4,0,0
strict,1-4-7-6,log_time_output,median,1,0,1,0,4,1,0,1,0,4,0,0
strict,1-4-7-6,log_time_syntaxBL,per_student,0.02972973,0.510889455,0.027027027,0.420055612,37,0.342857143,0.296922996,0.261904762,0.233284737,7,-0.313127413,0.313127413
strict,1-4-7-6,log_time_syntaxBL,avg,0.2,0,0,0,4,0.2,0,0,0,4,0,0
strict,1-4-7-6,log_time_syntaxBL,median,0.3,0.1,0.166666667,0.166666667,4,-0.1,0.3,-0.166666667,0.166666667,4,0.4,0.4
strict,1-4-7-6,log_time_scaleSM,per_student,0.175675676,0.530886767,0.157657658,0.466515333,37,0.457142857,0.328881841,0.404761905,0.306764255,7,-0.281467181,0.281467181
strict,1-4-7-6,log_time_scaleSM,avg,1,0,1,0,4,0.8,0,0.666666667,0,4,0.2,0.2
strict,1-4-7-6,log_time_scaleSM,median,0.8,0.141421356,0.666666667,0.23570226,4,0.8,0,0.666666667,0,4,0,0
strict,1-4-7-6,log_time_scaleST,per_student,0.116216216,0.475629605,0.094594595,0.403700117,37,0.414285714,0.294853821,0.357142857,0.207566616,7,-0.298069498,0.298069498
strict,1-4-7-6,log_time_scaleST,avg,0.8,0,0.666666667,0,4,0.4,0,0.333333333,0,4,0.4,0.4
strict,1-4-7-6,log_time_scaleST,median,0,0,0,0,4,0.3,0.1,0.166666667,0.166666667,4,-0.3,0.3
strict,1-4-7-6,time_correct_function,per_student,0.025,0.713705121,0.005208333,0.662073205,32,0.4,0.656832225,0.333333333,0.642416074,7,-0.375,0.375
strict,1-4-7-6,time_correct_function,avg,0.8,0,0.666666667,0,4,1,0,1,0,4,-0.2,0.2
strict,1-4-7-6,time_correct_function,median,0.4,0,0.333333333,0,4,0.4,0,0.333333333,0,4,0,0
strict,1-4-7-6,time_correct_output,per_student,0.354545455,0.704354813,0.318181818,0.685176912,22,0.9,0.177281052,0.857142857,0.242810453,7,-0.545454545,0.545454545
strict,1-4-7-6,time_correct_output,avg,0.8,0,0.666666667,0,4,1,0,1,0,4,-0.2,0.2
strict,1-4-7-6,time_correct_output,median,1,0,1,0,4,1,0,1,0,4,0,0
strict,1-4-7-6,time_correct_syntaxBL,per_student,0.04,0.599023014,0.023809524,0.510435322,35,0.35,0.310529502,0.285714286,0.262984786,7,-0.31,0.31
strict,1-4-7-6,time_correct_syntaxBL,avg,0.4,0,0.333333333,0,4,0.4,0,0.333333333,0,4,0,0
strict,1-4-7-6,time_correct_syntaxBL,median,0.3,0.1,0.166666667,0.166666667,4,-0.2,0.43204938,-0.166666667,0.319142369,4,0.5,0.5
strict,1-4-7-6,log_time_correct_function,per_student,0.025,0.713705121,0.005208333,0.662073205,32,0.4,0.656832225,0.333333333,0.642416074,7,-0.375,0.375
strict,1-4-7-6,log_time_correct_function,avg,0.4,0,0.333333333,0,4,0.8,0,0.666666667,0,4,-0.4,0.4
strict,1-4-7-6,log_time_correct_function,median,0.4,0,0.333333333,0,4,0.4,0,0.333333333,0,4,0,0
strict,1-4-7-6,log_time_correct_output,per_student,0.354545455,0.704354813,0.318181818,0.685176912,22,0.9,0.177281052,0.857142857,0.242810453,7,-0.545454545,0.545454545
strict,1-4-7-6,log_time_correct_output,avg,0.8,0,0.666666667,0,4,1,0,1,0,4,-0.2,0.2
strict,1-4-7-6,log_time_correct_output,median,1,0,1,0,4,1,0,1,0,4,0,0
strict,1-4-7-6,log_time_correct_syntaxBL,per_student,0.04,0.599023014,0.023809524,0.510435322,35,0.35,0.310529502,0.285714286,0.262984786,7,-0.31,0.31
strict,1-4-7-6,log_time_correct_syntaxBL,avg,0.2,0,0,0,4,0.4,0,0.333333333,0,4,-0.2,0.2
strict,1-4-7-6,log_time_correct_syntaxBL,median,0.3,0.1,0.166666667,0.166666667,4,-0.2,0.43204938,-0.166666667,0.319142369,4,0.5,0.5
strict,1-4-7-6,acc_function,per_student,0.243243243,0.430926432,0.202702703,0.375957507,37,-0.142857143,0.446757022,-0.166666667,0.367315443,7,0.386100386,0.386100386
strict,1-4-7-6,acc_function,avg,0.4,0,0.333333333,0,4,0.2,0.2,0.166666667,0.166666667,4,0.2,0.2
strict,1-4-7-6,acc_function,median,0.4,0.282842712,0.333333333,0.23570226,4,-0.8,0.141421356,-0.666666667,0.23570226,4,1.2,1.2
strict,1-4-7-6,acc_output,per_student,0.318918919,0.28459344,0.265765766,0.2371612,37,0.371428571,0.24907994,0.30952381,0.207566616,7,-0.052509653,0.052509653
strict,1-4-7-6,acc_output,avg,0.8,0,0.666666667,0,4,0.6,0.2,0.5,0.166666667,4,0.2,0.2
strict,1-4-7-6,acc_output,median,0.4,0.282842712,0.333333333,0.23570226,4,0.6,0.282842712,0.5,0.319142369,4,-0.2,0.2
strict,1-4-7-6,acc_syntaxBL,per_student,0.037837838,0.179113962,0.031531532,0.149261635,37,0.057142857,0.09035079,0.047619048,0.075292325,7,-0.019305019,0.019305019
strict,1-4-7-6,acc_syntaxBL,avg,-0.2,0.2,-0.166666667,0.166666667,4,0.2,0.43204938,0.166666667,0.319142369,4,-0.4,0.4
strict,1-4-7-6,acc_syntaxBL,median,0,0,0,0,4,0,0,0,0,4,0,0
strict,1-4-7-6,scaleSM,per_student,0.597297297,0.23306012,0.513513514,0.230479258,37,0.657142857,0.149829835,0.547619048,0.146771762,7,-0.05984556,0.05984556
strict,1-4-7-6,scaleSM,avg,0.8,0,0.666666667,0,4,1,0,1,0,4,-0.2,0.2
strict,1-4-7-6,scaleSM,median,0.8,0,0.666666667,0,4,0.6,0.282842712,0.5,0.319142369,4,0.2,0.2
strict,1-4-7-6,scaleST,per_student,0.591891892,0.211018609,0.5,0.208670898,37,0.542857143,0.232115383,0.452380952,0.193429486,7,0.049034749,0.049034749
strict,1-4-7-6,scaleST,avg,0.8,0,0.666666667,0,4,0.8,0,0.666666667,0,4,0,0
strict,1-4-7-6,scaleST,median,0.9,0.1,0.833333333,0.166666667,4,0.6,0.282842712,0.5,0.319142369,4,0.3,0.3
strict,1-5-7-6,readTime,per_student,0.383783784,0.456492807,0.310810811,0.421213324,37,0.571428571,0.271052371,0.476190476,0.301169301,7,-0.187644788,0.187644788
strict,1-5-7-6,readTime,avg,0.8,0,0.666666667,0,4,0.8,0,0.666666667,0,4,0,0
strict,1-5-7-6,readTime,median,0.8,0,0.666666667,0,4,0.4,0,0.333333333,0,4,0.4,0.4
strict,1-5-7-6,log_readTime,per_student,0.235135135,0.637654577,0.207207207,0.566064075,37,0.571428571,0.271052371,0.476190476,0.301169301,7,-0.336293436,0.336293436
strict,1-5-7-6,log_readTime,avg,0.8,0,0.666666667,0,4,0.8,0,0.666666667,0,4,0,0
strict,1-5-7-6,log_readTime,median,0.8,0,0.666666667,0,4,0.4,0,0.333333333,0,4,0.4,0.4
strict,1-5-7-6,time_function,per_student,0.045945946,0.544552678,0.036036036,0.468425154,37,0.228571429,0.506287004,0.238095238,0.386858972,7,-0.182625483,0.182625483
strict,1-5-7-6,time_function,avg,0.8,0,0.666666667,0,4,1,0,1,0,4,-0.2,0.2
strict,1-5-7-6,time_function,median,1,0,1,0,4,0.6,0,0.333333333,0,4,0.4,0.4
strict,1-5-7-6,time_output,per_student,0.540540541,0.473891001,0.486486486,0.407103551,37,0.757142857,0.238190457,0.642857143,0.287691571,7,-0.216602317,0.216602317
strict,1-5-7-6,time_output,avg,1,0,1,0,4,1,0,1,0,4,0,0
strict,1-5-7-6,time_output,median,1,0,1,0,4,1,0,1,0,4,0,0
strict,1-5-7-6,time_syntaxBL,per_student,-0.054054054,0.468231056,-0.04954955,0.373412284,37,0.2,0.213808994,0.119047619,0.193429486,7,-0.254054054,0.254054054
strict,1-5-7-6,time_syntaxBL,avg,0.2,0,0,0,4,0.2,0,0,0,4,0,0
strict,1-5-7-6,time_syntaxBL,median,0.2,0,0,0,4,-0.1,0.3,-0.166666667,0.166666667,4,0.3,0.3
strict,1-5-7-6,time_scaleSM,per_student,0.12972973,0.520324672,0.103603604,0.432103854,37,0.385714286,0.313635691,0.333333333,0.281718085,7,-0.255984556,0.255984556
strict,1-5-7-6,time_scaleSM,avg,0.2,0,0,0,4,0.4,0,0.333333333,0,4,-0.2,0.2
strict,1-5-7-6,time_scaleSM,median,0.6,0.282842712,0.5,0.319142369,4,0.8,0,0.666666667,0,4,-0.2,0.2
strict,1-5-7-6,time_scaleST,per_student,0.097297297,0.440200499,0.072072072,0.376766192,37,0.4,0.325137334,0.333333333,0.251976315,7,-0.302702703,0.302702703
strict,1-5-7-6,time_scaleST,avg,-0.6,0,-0.333333333,0,4,1,0,1,0,4,-1.6,1.6
strict,1-5-7-6,time_scaleST,median,-0.2,0.43204938,-0.166666667,0.319142369,4,0.3,0.1,0.166666667,0.166666667,4,-0.5,0.5
strict,1-5-7-6,log_time_function,per_student,0.045945946,0.544552678,0.036036036,0.468425154,37,0.228571429,0.506287004,0.238095238,0.386858972,7,-0.182625483,0.182625483
strict,1-5-7-6,log_time_function,avg,0.8,0,0.666666667,0,4,1,0,1,0,4,-0.2,0.2
strict,1-5-7-6,log_time_function,median,1,0,1,0,4,0.6,0,0.333333333,0,4,0.4,0.4
strict,1-5-7-6,log_time_output,per_student,0.540540541,0.473891001,0.486486486,0.407103551,37,0.757142857,0.238190457,0.642857143,0.287691571,7,-0.216602317,0.216602317
strict,1-5-7-6,log_time_output,avg,1,0,1,0,4,1,0,1,0,4,0,0
strict,1-5-7-6,log_time_output,median,1,0,1,0,4,1,0,1,0,4,0,0
strict,1-5-7-6,log_time_syntaxBL,per_student,-0.054054054,0.468231056,-0.04954955,0.373412284,37,0.2,0.213808994,0.119047619,0.193429486,7,-0.254054054,0.254054054
strict,1-5-7-6,log_time_syntaxBL,avg,0.2,0,0,0,4,0.2,0,0,0,4,0,0
strict,1-5-7-6,log_time_syntaxBL,median,0.2,0,0,0,4,-0.1,0.3,-0.166666667,0.166666667,4,0.3,0.3
strict,1-5-7-6,log_time_scaleSM,per_student,0.12972973,0.520324672,0.103603604,0.432103854,37,0.385714286,0.313635691,0.333333333,0.281718085,7,-0.255984556,0.255984556
strict,1-5-7-6,log_time_scaleSM,avg,0.4,0,0.333333333,0,4,0.8,0,0.666666667,0,4,-0.4,0.4
strict,1-5-7-6,log_time_scaleSM,median,0.6,0.282842712,0.5,0.319142369,4,0.8,0,0.666666667,0,4,-0.2,0.2
strict,1-5-7-6,log_time_scaleST,per_student,0.097297297,0.440200499,0.072072072,0.376766192,37,0.4,0.325137334,0.333333333,0.251976315,7,-0.302702703,0.302702703
strict,1-5-7-6,log_time_scaleST,avg,0.4,0,0.333333333,0,4,0.4,0,0.333333333,0,4,0,0
strict,1-5-7-6,log_time_scaleST,median,-0.2,0.43204938,-0.166666667,0.319142369,4,0.3,0.1,0.166666667,0.166666667,4,-0.5,0.5
strict,1-5-7-6,time_correct_function,per_student,0.040625,0.735212289,0.015625,0.674896308,32,0.542857143,0.446757022,0.476190476,0.431208816,7,-0.502232143,0.502232143
strict,1-5-7-6,time_correct_function,avg,0.8,0,0.666666667,0,4,1,0,1,0,4,-0.2,0.2
strict,1-5-7-6,time_correct_function,median,0.4,0,0.333333333,0,4,0.8,0,0.666666667,0,4,-0.4,0.4
strict,1-5-7-6,time_correct_output,per_student,0.421666667,0.615316089,0.377777778,0.588364546,30,0.928571429,0.174963553,0.904761905,0.233284737,7,-0.506904762,0.506904762
strict,1-5-7-6,time_correct_output,avg,1,0,1,0,4,1,0,1,0,4,0,0
strict,1-5-7-6,time_correct_output,median,1,0,1,0,4,1,0,1,0,4,0,0
strict,1-5-7-6,time_correct_syntaxBL,per_student,-0.011428571,0.501296279,-0.023809524,0.398694013,35,0.257142857,0.249897938,0.166666667,0.199204768,7,-0.268571429,0.268571429
strict,1-5-7-6,time_correct_syntaxBL,avg,0.2,0,0,0,4,0.4,0,0.333333333,0,4,-0.2,0.2
strict,1-5-7-6,time_correct_syntaxBL,median,0.2,0,0,0,4,-0.2,0.43204938,-0.166666667,0.319142369,4,0.4,0.4
strict,1-5-7-6,log_time_correct_function,per_student,0.040625,0.735212289,0.015625,0.674896308,32,0.542857143,0.446757022,0.476190476,0.431208816,7,-0.502232143,0.502232143
strict,1-5-7-6,log_time_correct_function,avg,0.2,0,0,0,4,1,0,1,0,4,-0.8,0.8
strict,1-5-7-6,log_time_correct_function,median,0.4,0,0.333333333,0,4,0.8,0,0.666666667,0,4,-0.4,0.4
strict,1-5-7-6,log_time_correct_output,per_student,0.421666667,0.615316089,0.377777778,0.588364546,30,0.928571429,0.174963553,0.904761905,0.233284737,7,-0.506904762,0.506904762
strict,1-5-7-6,log_time_correct_output,avg,1,0,1,0,4,1,0,1,0,4,0,0
strict,1-5-7-6,log_time_correct_output,median,1,0,1,0,4,1,0,1,0,4,0,0
strict,1-5-7-6,log_time_correct_syntaxBL,per_student,-0.011428571,0.501296279,-0.023809524,0.398694013,35,0.257142857,0.249897938,0.166666667,0.199204768,7,-0.268571429,0.268571429
strict,1-5-7-6,log_time_correct_syntaxBL,avg,0.2,0,0,0,4,0.4,0,0.333333333,0,4,-0.2,0.2
strict,1-5-7-6,log_time_correct_syntaxBL,median,0.2,0,0,0,4,-0.2,0.43204938,-0.166666667,0.319142369,4,0.4,0.4
strict,1-5-7-6,acc_function,per_student,0.297297297,0.449315688,0.252252252,0.386758341,37,-0.114285714,0.422335586,-0.142857143,0.349927106,7,0.411583012,0.411583012
strict,1-5-7-6,acc_function,avg,0.8,0,0.666666667,0,4,0.4,0,0.333333333,0,4,0.4,0.4
strict,1-5-7-6,acc_function,median,0.4,0.282842712,0.333333333,0.23570226,4,-0.8,0.141421356,-0.666666667,0.23570226,4,1.2,1.2
strict,1-5-7-6,acc_output,per_student,0.383783784,0.295473521,0.31981982,0.246227935,37,0.4,0.261861468,0.333333333,0.21821789,7,-0.016216216,0.016216216
strict,1-5-7-6,acc_output,avg,1,0,1,0,4,0.6,0.2,0.5,0.166666667,4,0.4,0.4
strict,1-5-7-6,acc_output,median,0.6,0.282842712,0.5,0.319142369,4,0.6,0.282842712,0.5,0.319142369,4,0,0
strict,1-5-7-6,acc_syntaxBL,per_student,0.016216216,0.188182651,0.013513514,0.156818876,37,0.057142857,0.09035079,0.047619048,0.075292325,7,-0.040926641,0.040926641
strict,1-5-7-6,acc_syntaxBL,avg,-0.2,0,0,0,4,0.2,0.43204938,0.166666667,0.319142369,4,-0.4,0.4
strict,1-5-7-6,acc_syntaxBL,median,0,0,0,0,4,0,0,0,0,4,0,0
strict,1-5-7-6,scaleSM,per_student,0.543243243,0.239978085,0.459459459,0.236990026,37,0.585714286,0.155182578,0.5,0.15430335,7,-0.042471042,0.042471042
strict,1-5-7-6,scaleSM,avg,0.8,0,0.666666667,0,4,0.8,0,0.666666667,0,4,0,0
strict,1-5-7-6,scaleSM,median,0.8,0,0.666666667,0,4,0.4,0.282842712,0.333333333,0.23570226,4,0.4,0.4
strict,1-5-7-6,scaleST,per_student,0.540540541,0.186662666,0.45045045,0.185287962,37,0.428571429,0.197948664,0.357142857,0.16495722,7,0.111969112,0.111969112
strict,1-5-7-6,scaleST,avg,0.8,0,0.666666667,0,4,0.8,0,0.666666667,0,4,0,0
strict,1-5-7-6,scaleST,median,0.8,0,0.666666667,0,4,0.4,0.282842712,0.333333333,0.23570226,4,0.4,0.4
strict,2-4-7-6,readTime,per_student,0.221621622,0.53176663,0.18018018,0.486110966,37,0.442857143,0.377424138,0.404761905,0.354753915,7,-0.221235521,0.221235521
strict,2-4-7-6,readTime,avg,0.8,0,0.666666667,0,4,0.2,0,0,0,4,0.6,0.6
strict,2-4-7-6,readTime,median,0.4,0,0.333333333,0,4,0.2,0,0,0,4,0.2,0.2
strict,2-4-7-6,log_readTime,per_student,0.132432432,0.640968041,0.112612613,0.556228794,37,0.442857143,0.377424138,0.404761905,0.354753915,7,-0.31042471,0.31042471
strict,2-4-7-6,log_readTime,avg,0.8,0,0.666666667,0,4,0.2,0,0,0,4,0.6,0.6
strict,2-4-7-6,log_readTime,median,0.4,0,0.333333333,0,4,0.2,0,0,0,4,0.2,0.2
strict,2-4-7-6,time_function,per_student,0.054054054,0.648738732,0.036036036,0.583989509,37,0.257142857,0.437058815,0.238095238,0.343385836,7,-0.203088803,0.203088803
strict,2-4-7-6,time_function,avg,0.4,0,0.333333333,0,4,1,0,1,0,4,-0.6,0.6
strict,2-4-7-6,time_function,median,0.8,0,0.666666667,0,4,0.2,0,0,0,4,0.6,0.6
strict,2-4-7-6,time_output,per_student,0.424324324,0.57299847,0.355855856,0.534348923,37,0.657142857,0.292072119,0.571428571,0.279698574,7,-0.232818533,0.232818533
strict,2-4-7-6,time_output,avg,1,0,1,0,4,1,0,1,0,4,0,0
strict,2-4-7-6,time_output,median,1,0,1,0,4,1,0,1,0,4,0,0
strict,2-4-7-6,time_syntaxBL,per_student,-0.1,0.601799104,-0.099099099,0.523414895,37,-0.471428571,0.3953815,-0.404761905,0.343385836,7,0.371428571,0.371428571
strict,2-4-7-6,time_syntaxBL,avg,-0.8,0,-0.666666667,0,4,-1,0,-1,0,4,0.2,0.2
strict,2-4-7-6,time_syntaxBL,median,-0.6,0.282842712,-0.5,0.319142369,4,-1,0,-1,0,4,0.4,0.4
strict,2-4-7-6,time_scaleSM,per_student,0.008108108,0.560587712,0.013513514,0.483012286,37,0.085714286,0.527605295,0.071428571,0.416496564,7,-0.077606178,0.077606178
strict,2-4-7-6,time_scaleSM,avg,-0.4,0,-0.333333333,0,4,0.2,0,0,0,4,-0.6,0.6
strict,2-4-7-6,time_scaleSM,median,0.2,0.43204938,0.166666667,0.319142369,4,0.6,0.2,0.5,0.166666667,4,-0.4,0.4
strict,2-4-7-6,time_scaleST,per_student,-0.075675676,0.523710981,-0.081081081,0.442864043,37,0.357142857,0.206031501,0.261904762,0.196338363,7,-0.432818533,0.432818533
strict,2-4-7-6,time_scaleST,avg,-0.4,0,-0.333333333,0,4,0.4,0,0.333333333,0,4,-0.8,0.8
strict,2-4-7-6,time_scaleST,median,0,0,0,0,4,0.2,0,0,0,4,-0.2,0.2
strict,2-4-7-6,log_time_function,per_student,0.054054054,0.648738732,0.036036036,0.583989509,37,0.257142857,0.437058815,0.238095238,0.343385836,7,-0.203088803,0.203088803
strict,2-4-7-6,log_time_function,avg,0.4,0,0.333333333,0,4,0.4,0,0.333333333,0,4,0,0
strict,2-4-7-6,log_time_function,median,0.8,0,0.666666667,0,4,0.2,0,0,0,4,0.6,0.6
strict,2-4-7-6,log_time_output,per_student,0.424324324,0.57299847,0.355855856,0.534348923,37,0.657142857,0.292072119,0.571428571,0.279698574,7,-0.232818533,0.232818533
strict,2-4-7-6,log_time_output,avg,1,0,1,0,4,1,0,1,0,4,0,0
strict,2-4-7-6,log_time_output,median,1,0,1,0,4,1,0,1,0,4,0,0
strict,2-4-7-6,log_time_syntaxBL,per_student,-0.1,0.601799104,-0.099099099,0.523414895,37,-0.471428571,0.3953815,-0.404761905,0.343385836,7,0.371428571,0.371428571
strict,2-4-7-6,log_time_syntaxBL,avg,-0.4,0,-0.333333333,0,4,-1,0,-1,0,4,0.6,0.6
strict,2-4-7-6,log_time_syntaxBL,median,-0.6,0.282842712,-0.5,0.319142369,4,-1,0,-1,0,4,0.4,0.4
strict,2-4-7-6,log_time_scaleSM,per_student,0.008108108,0.560587712,0.013513514,0.483012286,37,0.085714286,0.527605295,0.071428571,0.416496564,7,-0.077606178,0.077606178
strict,2-4-7-6,log_time_scaleSM,avg,-0.2,0,0,0,4,0.4,0,0.333333333,0,4,-0.6,0.6
strict,2-4-7-6,log_time_scaleSM,median,0.2,0.43204938,0.166666667,0.319142369,4,0.6,0.2,0.5,0.166666667,4,-0.4,0.4
strict,2-4-7-6,log_time_scaleST,per_student,-0.075675676,0.523710981,-0.081081081,0.442864043,37,0.357142857,0.206031501,0.261904762,0.196338363,7,-0.432818533,0.432818533
strict,2-4-7-6,log_time_scaleST,avg,-0.4,0,-0.333333333,0,4,0.4,0,0.333333333,0,4,-0.8,0.8
strict,2-4-7-6,log_time_scaleST,median,0,0,0,0,4,0.2,0,0,0,4,-0.2,0.2
strict,2-4-7-6,time_correct_function,per_student,-0.017241379,0.662320355,-0.028735632,0.587332703,29,-0.05,0.588075959,-0.055555556,0.524110063,6,0.032758621,0.032758621
strict,2-4-7-6,time_correct_function,avg,0.4,0,0.333333333,0,4,1,0,1,0,4,-0.6,0.6
strict,2-4-7-6,time_correct_function,median,0.4,0,0.333333333,0,4,0.4,0,0.333333333,0,4,0,0
strict,2-4-7-6,time_correct_output,per_student,0.372727273,0.712984647,0.340909091,0.693543952,22,0.716666667,0.226691175,0.611111111,0.299175823,6,-0.343939394,0.343939394
strict,2-4-7-6,time_correct_output,avg,0.8,0,0.666666667,0,4,1,0,1,0,4,-0.2,0.2
strict,2-4-7-6,time_correct_output,median,1,0,1,0,4,1,0,1,0,4,0,0
strict,2-4-7-6,time_correct_syntaxBL,per_student,-0.262857143,0.66808285,-0.252380952,0.626620349,35,-0.25,0.595818764,-0.166666667,0.541895556,7,-0.012857143,0.012857143
strict,2-4-7-6,time_correct_syntaxBL,avg,0.4,0,0.333333333,0,4,-0.8,0,-0.666666667,0,4,1.2,1.2
strict,2-4-7-6,time_correct_syntaxBL,median,-0.9,0.1,-0.833333333,0.166666667,4,-0.7,0.1,-0.5,0.166666667,4,-0.2,0.2
strict,2-4-7-6,log_time_correct_function,per_student,-0.017241379,0.662320355,-0.028735632,0.587332703,29,-0.05,0.588075959,-0.055555556,0.524110063,6,0.032758621,0.032758621
strict,2-4-7-6,log_time_correct_function,avg,0.4,0,0.333333333,0,4,0.8,0,0.666666667,0,4,-0.4,0.4
strict,2-4-7-6,log_time_correct_function,median,0.4,0,0.333333333,0,4,0.4,0,0.333333333,0,4,0,0
strict,2-4-7-6,log_time_correct_output,per_student,0.372727273,0.712984647,0.340909091,0.693543952,22,0.716666667,0.226691175,0.611111111,0.299175823,6,-0.343939394,0.343939394
strict,2-4-7-6,log_time_correct_output,avg,0.8,0,0.666666667,0,4,1,0,1,0,4,-0.2,0.2
strict,2-4-7-6,log_time_correct_output,median,1,0,1,0,4,1,0,1,0,4,0,0
strict,2-4-7-6,log_time_correct_syntaxBL,per_student,-0.262857143,0.66808285,-0.252380952,0.626620349,35,-0.25,0.595818764,-0.166666667,0.541895556,7,-0.012857143,0.012857143
strict,2-4-7-6,log_time_correct_syntaxBL,avg,-0.4,0,-0.333333333,0,4,-0.8,0,-0.666666667,0,4,0.4,0.4
strict,2-4-7-6,log_time_correct_syntaxBL,median,-0.9,0.1,-0.833333333,0.166666667,4,-0.7,0.1,-0.5,0.166666667,4,-0.2,0.2
strict,2-4-7-6,acc_function,per_student,-0.043243243,0.54104031,-0.04954955,0.453324167,37,-0.385714286,0.50264606,-0.380952381,0.40546158,7,0.342471042,0.342471042
strict,2-4-7-6,acc_function,avg,0,0,0,0,4,-0.6,0.2,-0.5,0.166666667,4,0.6,0.6
strict,2-4-7-6,acc_function,median,-0.2,0.43204938,-0.166666667,0.319142369,4,-0.8,0.141421356,-0.666666667,0.23570226,4,0.6,0.6
strict,2-4-7-6,acc_output,per_student,0.27027027,0.336005844,0.225225225,0.28000487,37,0.285714286,0.25872529,0.238095238,0.215604408,7,-0.015444015,0.015444015
strict,2-4-7-6,acc_output,avg,0.8,0,0.666666667,0,4,0.4,0,0.333333333,0,4,0.4,0.4
strict,2-4-7-6,acc_output,median,0.4,0.282842712,0.333333333,0.23570226,4,0.6,0.282842712,0.5,0.319142369,4,-0.2,0.2
strict,2-4-7-6,acc_syntaxBL,per_student,-0.140540541,0.286129303,-0.117117117,0.238441086,37,-0.2,0.302371578,-0.166666667,0.251976315,7,0.059459459,0.059459459
