case,expert_ranking,proxy,aggregation,spearman_mean_Uni1,spearman_std_Uni1,kendall_mean_Uni1,kendall_std_Uni1,n_Uni1,spearman_mean_Uni2,spearman_std_Uni2,kendall_mean_Uni2,kendall_std_Uni2,n_Uni2,delta_spearman,abs_delta_spearman
strict,1-4-7-6,readTime,per_student,0.4054054054054054,0.4931673395873315,0.3468468468468468,0.4623649520849132,37,0.7000000000000001,0.3251373336211726,0.6428571428571429,0.3824375810525955,7,-0.2945945945945947,0.2945945945945947
strict,1-4-7-6,readTime,avg,0.7999999999999999,0.0,0.6666666666666669,0.0,4,0.7999999999999999,0.0,0.6666666666666669,0.0,4,0.0,0.0
strict,1-4-7-6,readTime,median,0.7999999999999999,0.0,0.6666666666666669,0.0,4,0.7999999999999999,0.0,0.6666666666666669,0.0,4,0.0,0.0
strict,1-4-7-6,log_readTime,per_student,0.2756756756756756,0.6465732564024077,0.2612612612612613,0.5702069332773572,37,0.7000000000000001,0.3251373336211726,0.6428571428571429,0.3824375810525955,7,-0.4243243243243245,0.4243243243243245
strict,1-4-7-6,log_readTime,avg,0.7999999999999999,0.0,0.6666666666666669,0.0,4,0.7999999999999999,0.0,0.6666666666666669,0.0,4,0.0,0.0
strict,1-4-7-6,log_readTime,median,0.7999999999999999,0.0,0.6666666666666669,0.0,4,0.7999999999999999,0.0,0.6666666666666669,0.0,4,0.0,0.0
strict,1-4-7-6,time_function,per_student,0.027027027027027,0.5621621621621621,0.009009009009009,0.4807806869955436,37,0.0857142857142857,0.5642405045180428,0.0952380952380952,0.4616837959444124,7,-0.0586872586872587,0.0586872586872587
strict,1-4-7-6,time_function,avg,0.7999999999999999,0.0,0.6666666666666669,0.0,4,1.0,0.0,1.0,0.0,4,-0.20000000000000007,0.20000000000000007
strict,1-4-7-6,time_function,median,0.7999999999999999,0.0,0.6666666666666669,0.0,4,0.1999999999999999,0.0,0.0,0.0,4,0.6000000000000001,0.6000000000000001
strict,1-4-7-6,time_output,per_student,0.4621621621621621,0.4611099132330724,0.4009009009009009,0.4235192531006544,37,0.8142857142857142,0.1884415136896131,0.7380952380952382,0.2156044080508908,7,-0.35212355212355206,0.35212355212355206
